ID,Structure,Name<br>(<i>CAS RN</i>)
1,"<img src=""molecules/1.png"" height =""200""></img>",tris[(Trifluoroethoxy)methane]<br>(<i>58244-27-2</i>)
2,"<img src=""molecules/2.png"" height =""200""></img>",6:2 Fluorotelomer methacrylate<br>(<i>2144-53-8</i>)
3,"<img src=""molecules/3.png"" height =""200""></img>",Sevoflurane<br>(<i>28523-86-6</i>)
4,"<img src=""molecules/4.png"" height =""200""></img>","2,2,3,3,4,4-Hexafluorobutanoic acid<br>(<i>679-12-9</i>)"
5,"<img src=""molecules/5.png"" height =""200""></img>",[3-[[(heptadecafluorooctyl)sulphonyl]amino]propyl]trimethylammonium iodide<br>(<i>1652-63-7</i>)
6,"<img src=""molecules/6.png"" height =""200""></img>",Potassium perfluorooctanesulfonate<br>(<i>2795-39-3</i>)
7,"<img src=""molecules/7.png"" height =""200""></img>","Perfluoro-3,6-dioxaoctane-1,8-dioic acid<br>(<i>55621-21-1</i>)"
8,"<img src=""molecules/8.png"" height =""200""></img>",Perfluorobutanesulfonyl fluoride<br>(<i>375-72-4</i>)
9,"<img src=""molecules/9.png"" height =""200""></img>",N-Ethyl-N-(2-hydroxyethyl)perfluorooctanesulfonamide<br>(<i>1691-99-2</i>)
10,"<img src=""molecules/10.png"" height =""200""></img>",2-(Trifluoromethoxy)ethyl trifluoromethanesulfonate<br>(<i>329710-76-1</i>)
11,"<img src=""molecules/11.png"" height =""200""></img>",Heptafluorobutanol<br>(<i>375-01-9</i>)
12,"<img src=""molecules/12.png"" height =""200""></img>",Perfluorobutanoic acid<br>(<i>375-22-4</i>)
13,"<img src=""molecules/13.png"" height =""200""></img>","2,2-Difluoroethyl triflate<br>(<i>74427-22-8</i>)"
14,"<img src=""molecules/14.png"" height =""200""></img>","2H,2H,3H,3H-Perfluorooctanoic acid<br>(<i>914637-49-3</i>)"
15,"<img src=""molecules/15.png"" height =""200""></img>",4:2 Fluorotelomer sulfonic acid<br>(<i>757124-72-4</i>)
16,"<img src=""molecules/16.png"" height =""200""></img>",N-Methylperfluorooctanesulfonamide<br>(<i>31506-32-8</i>)
17,"<img src=""molecules/17.png"" height =""200""></img>",Perfluorononanoic acid<br>(<i>375-95-1</i>)
18,"<img src=""molecules/18.png"" height =""200""></img>",Allyl perfluoroisopropyl ether<br>(<i>15242-17-8</i>)
19,"<img src=""molecules/19.png"" height =""200""></img>",Nonafluoropentanamide<br>(<i>13485-61-5</i>)
